ID,dL,kL,kN,pL,delta,f_dose,kappa,gamma,L_max,L_AUC,T_AUC_normalized,tumor_ratio,Column16,no_therapy_L_max,no_therapy_L_AUC,no_therapy_T_AUC_normalized,no_therapy_tumor_ratio,cish_L_max,cish_L_AUC,cish_T_AUC_normalized,cish_tumor_ratio,double_cish_L_max,double_cish_L_AUC,double_cish_T_AUC_normalized,double_cish_tumor_ratio,anti_pd1_L_max,anti_pd1_L_AUC,anti_pd1_T_AUC_normalized,anti_pd1_tumor_ratio,cish_anti_pd1_L_max,cish_anti_pd1_L_AUC,cish_anti_pd1_T_AUC_normalized,cish_anti_pd1_tumor_ratio,double_cish_anti_pd1_L_max,double_cish_anti_pd1_L_AUC,double_cish_anti_pd1_T_AUC_normalized,double_cish_anti_pd1_tumor_ratio
patient_014_tumor_5,0.212669605,0.003266188,0.000350251,0.002435834,2.94e-8,0.605545443,0.075350737,0.019780356,0.146872127,1.045252325,56.90117461,1.672045209,,1.0e-10,4.999999999999993e-9,78.2218121194367,2.3655213610084904,0.1468721269757704,1.045252327967956,56.90117030475907,1.6720450281090957,0.29458139155134866,2.1382234853219098,44.54619750577289,1.2798310056003177,1.0e-10,4.999999999999993e-9,71.50579371525913,2.066439169934738,0.14745222412241893,1.0736098925201922,41.18726660720267,1.1265592984938284,0.29642783251631766,2.2118726368809987,28.997942555347894,0.7700253853139277
patient_015_tumor_1,0.230685834,0.003021525,0.000270121,0.002448575,1.5e-9,0.811475679,0.063287543,0.003392176,0.037187162,0.241988931,50.51607806,1.059027394,,1.0e-10,4.999999999999993e-9,52.39668380387836,1.1017097786521572,0.037187162321693445,0.2419889296673621,50.5160796091114,1.0590274508138022,0.07437860495534018,0.48580703618451865,48.69972193407146,1.017666350687125,1.0e-10,4.999999999999993e-9,50.316576682990544,1.0217631123246513,0.03719550338110903,0.24267562250704003,46.81158845949153,0.9457412898772591,0.07440672676239195,0.4880578196477157,43.66110816092899,0.877353886928685
patient_015_tumor_2,0.230685834,0.003021525,0.000270121,0.002448575,1.5e-9,0.811475679,0.063287543,0.004630626,0.037512253,0.248899503,53.09574568,1.152529652,,1.0e-10,4.999999999999993e-9,54.524046446053276,1.1858804669269463,0.03751225310765845,0.24889950140549263,53.095747379612696,1.1525297207697547,0.0750230700362471,0.4992241678782941,51.68849596513676,1.1195186502885064,1.0e-10,4.999999999999993e-9,52.775017067366115,1.1131310183735628,0.03751638533335695,0.24928430020487582,50.05350424762145,1.052317017511348,0.07503708120949652,0.5004814651431485,47.513324159599925,0.9953462406284315
patient_017_tumor_1,0.32881669,0.002143454,0.001,0.001970213,1.89e-9,0.993973097,0.065459054,0.013584114,0.360546508,1.831677184,65.4856432,1.714170328,,1.0e-10,4.999999999999993e-9,68.15619149146438,1.7793899444672308,0.3605465070659843,1.8316771804029075,65.48564386086402,1.7141703492097484,0.7207268483738645,3.660349866189056,63.002104529144624,1.6527290226152234,1.0e-10,4.999999999999993e-9,64.89286319380764,1.6070523468651114,0.3605570173368851,1.83248061555544,60.026286877476025,1.4983437839802851,0.7207643103613278,3.663031593172969,55.83013181587894,1.4024659971797997
patient_017_tumor_2,0.32881669,0.002143454,0.001,0.001970213,1.89e-9,0.993973097,0.065459054,0.012886478,0.360585727,1.832413821,64.42116127,1.663165348,,1.0e-10,4.999999999999993e-9,66.98054618660645,1.725009460108661,0.360585725707269,1.8324138177100726,64.42116202495892,1.663165374145211,0.7208044116638125,3.6617573977060145,62.036448958295814,1.6048096981094586,1.0e-10,4.999999999999993e-9,63.89008927486896,1.5634302627278274,0.3605957080550457,1.8331761311400496,59.20692209727628,1.459656908337516,0.7208400097187881,3.6643074521966486,55.1547795989722,1.3678692228052047
patient_017_tumor_3,0.32881669,0.002143454,0.001,0.001970213,1.89e-9,0.993973097,0.065459054,0.026494598,0.354673681,1.736829068,72.10104185,2.295334745,,1.0e-10,4.999999999999993e-9,85.93552902229784,2.738890337647884,0.35467367974301545,1.736829063150753,72.10104310183317,2.295334766924407,0.7093326665755761,3.4899316099452924,62.20886219018613,1.9838756208230246,1.0e-10,4.999999999999993e-9,72.0501090312564,2.0250595689334645,0.35490741307068463,1.7495322940576306,53.38925506124707,1.5135524861229888,0.7101088656516302,3.5248299316488154,42.76649792480685,1.2316233813690558
patient_017_tumor_4,0.32881669,0.002143454,0.001,0.001970213,1.89e-9,0.993973097,0.065459054,0.028388169,0.356451387,1.762514407,80.88659704,2.68101538,,1.0e-10,4.999999999999993e-9,92.7528866097315,3.0625407743213726,0.3564513863280965,1.762514403375148,80.88659795978523,2.6810153883887056,0.7127368203727709,3.534300407431753,71.77260844219771,2.390027848216836,1.0e-10,4.999999999999993e-9,79.13692914596854,2.314123608693559,0.3565883551430043,1.7709126198631429,62.285208849133,1.852107178157413,0.7132010601694724,3.558310025911999,51.625869277873896,1.5631218710646257
patient_018_tumor_1,0.5,0.002763435,0.000260328,0.002405892,4.91e-9,1.0,0.050440084,0.033985665,0.085189603,0.328112848,122.7174651,4.926272692,,1.0e-10,4.999999999999993e-9,125.85620370726771,5.052252019644172,0.0851896027598415,0.32811284788218,122.71747369334776,4.926273291817762,0.17036039909616052,0.6567430925776324,119.66993179071709,4.803881437421858,1.0e-10,4.999999999999993e-9,120.26855399330249,4.65373667552368,0.085194028022253,0.32824797316286447,114.3602104072713,4.427458604058943,0.17037655009788205,0.657217027993657,108.90864588959845,4.218726266480627
patient_018_tumor_2,0.5,0.002763435,0.000260328,0.002405892,4.91e-9,1.0,0.050440084,0.031090961,0.08539349,0.330078362,113.8175173,4.349651543,,1.0e-10,4.999999999999993e-9,116.01540299444395,4.433127798505977,0.0853934903999025,0.3300783618726185,113.81752384113214,4.34965200096809,0.17076505666205716,0.6605837993897001,111.65744487027227,4.26750452189945,1.0e-10,4.999999999999993e-9,111.96230262048752,4.142791365205861,0.085396029463852,0.3301569678925695,107.7426958009967,3.9898187964335263,0.17077435885542525,0.6608634303806563,103.7551182691396,3.8450186689509067
patient_019_tumor_1,0.13758182,0.001027152,0.000225805,0.002447171,4.15e-9,1.0,0.05,0.005180207,0.148188159,1.409437849,54.86338591,1.222050006,,1.0e-10,4.999999999999993e-9,56.2343956672847,1.2564292465575595,0.14818815879352107,1.409437845681082,54.863387624961135,1.2220500793372984,0.29626707608842545,2.817911530548343,53.54835522030406,1.1889104937179789,1.0e-10,4.999999999999993e-9,55.35974388880412,1.2162934863276236,0.14819310592297746,1.41107589471645,52.66609461545398,1.150564451384339,0.2962847217965696,2.8233864874198984,50.21224825513135,1.0904968988543617
patient_019_tumor_2,0.13758182,0.001027152,0.000225805,0.002447171,4.15e-9,1.0,0.05,0.003040858,0.147827933,1.392492143,51.56586419,1.088085301,,1.0e-10,4.999999999999993e-9,53.10543426235584,1.1248644417522449,0.14782793316608095,1.3924921401412718,51.56586525446093,1.0880853427729011,0.29555082091534524,2.785263079288125,50.10383469989481,1.0530231836959865,1.0e-10,4.999999999999993e-9,52.17461573351529,1.0848410316556198,0.14783538186318115,1.3947780899907072,49.17625074601316,1.0152962095754667,0.2955773335321006,2.7928648792391098,46.49587125058911,0.9530300479284202
patient_019_tumor_3,0.13758182,0.001027152,0.000225805,0.002447171,4.15e-9,1.0,0.05,0.002113877,0.148118172,1.407557013,50.70071043,1.048600716,,1.0e-10,4.999999999999993e-9,51.990129751917415,1.0788935961183619,0.1481181717743162,1.4075570099108676,50.70071168866761,1.048600765448982,0.2961278604244961,2.81423719184904,49.46595115352541,1.0194668004944776,1.0e-10,4.999999999999993e-9,51.208711015666196,1.0454855424069958,0.1481235667128865,1.4092599988947543,48.67456371464331,0.9875144406278856,0.29614709420373814,2.819936449920769,46.37214619512808,0.9347263541134798
patient_019_tumor_4,0.13758182,0.001027152,0.000225805,0.002447171,4.15e-9,1.0,0.05,0.003593533,0.144576431,1.248880884,49.27813933,1.037637093,,1.0e-10,4.999999999999993e-9,52.90912002326357,1.1243526721937078,0.1445764305497405,1.2488808781520033,49.27814191044316,1.0376371821464916,0.28911880162666276,2.512596627481958,46.08775938405374,0.9616359500940723,1.0e-10,4.999999999999993e-9,51.03213338116243,1.053151673640883,0.14462878119191933,1.2597955615805647,44.42848300151441,0.9012330031526062,0.2893018310715444,2.5476464035882715,39.319232917780106,0.784921407335198
patient_020_tumor_1,0.31097465,0.00285365,0.000263171,0.00234789,2.24e-9,1.0,0.050000183,0.006866938,0.045641916,0.237645748,57.10184497,1.314341816,,1.0e-10,4.999999999999993e-9,58.15950825511063,1.339793270011844,0.045641915893829724,0.23764574590899126,57.10184400835448,1.3143417754867155,0.09127925184745217,0.4761610995173814,56.04744418059481,1.2888808839489507,1.0e-10,4.999999999999993e-9,56.63509335567478,1.2706911074476264,0.04564352874555476,0.23778049088656822,54.57925065642577,1.2231810601245625,0.09128483006462014,0.4766130318061865,52.6067481005544,1.1774347871291775
patient_020_tumor_2,0.31097465,0.00285365,0.000263171,0.00234789,2.24e-9,1.0,0.050000183,0.014139071,0.045729654,0.239101942,69.73852248,1.89502557,,1.0e-10,4.999999999999993e-9,70.83883698659668,1.9258742300751668,0.045729653960874736,0.2391019401871123,69.73852168632818,1.8950255279095343,0.09145399431362104,0.4790238589612575,68.63343499635737,1.8639350445852312,1.0e-10,4.999999999999993e-9,68.9531904496089,1.8251976036041908,0.04573074887604075,0.23920144171792634,66.80886136039842,1.7675074105260438,0.0914577875344042,0.4793606762984559,64.72489479106052,1.7112301458232986
patient_022_tumor_1,0.434038858,1.0,0.001,0.001686669,1.17e-9,0.01028042,0.5,0.001000002,0.087814945,0.506853917,7.014425163,0.110680557,,1.0e-10,4.999999999999993e-9,41.55651607531823,0.6964187688462387,0.08781494525352866,0.5068539165784787,7.014425133006281,0.11068055535276014,0.1757781919907535,1.0155678900339848,4.098673326659025,0.059586186501393135,1.0e-10,4.999999999999993e-9,35.09404477048269,0.5088287245343553,0.08790517652811536,0.507616846468194,3.942758700087363,0.05607207342001826,0.17592898516806868,1.0166079414363864,2.2967933767135107,0.02941176923908442
